LO_DEBUG: input=5.99999999999999555911 | scaled=599999999999999.50000000000000000000
LO_DEBUG: input=5.99999999999999555911 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=5.99999999999999644729 | scaled=599999999999999.62500000000000000000
LO_DEBUG: input=5.99999999999999644729 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=5.99999999999999733546 | scaled=599999999999999.75000000000000000000
LO_DEBUG: input=5.99999999999999733546 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=5.99999999999999822364 | scaled=599999999999999.87500000000000000000
LO_DEBUG: input=5.99999999999999822364 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=5.99999999999999911182 | scaled=599999999999999.87500000000000000000
LO_DEBUG: input=5.99999999999999911182 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=6.00000000000000088818 | scaled=600000000000000.12500000000000000000
LO_DEBUG: input=6.00000000000000088818 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=6.00000000000000177636 | scaled=600000000000000.12500000000000000000
LO_DEBUG: input=6.00000000000000177636 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=6.00000000000000266454 | scaled=600000000000000.25000000000000000000
LO_DEBUG: input=6.00000000000000266454 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=6.00000000000000355271 | scaled=600000000000000.37500000000000000000
LO_DEBUG: input=6.00000000000000355271 | scaled=600000000000000.00000000000000000000
LO_DEBUG: input=6.00000000000000444089 | scaled=600000000000000.50000000000000000000
LO_DEBUG: input=6.00000000000000444089 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000532907 | scaled=600000000000000.50000000000000000000
LO_DEBUG: input=6.00000000000000532907 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000621725 | scaled=600000000000000.62500000000000000000
LO_DEBUG: input=6.00000000000000621725 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000710543 | scaled=600000000000000.75000000000000000000
LO_DEBUG: input=6.00000000000000710543 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000799361 | scaled=600000000000000.75000000000000000000
LO_DEBUG: input=6.00000000000000799361 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000888178 | scaled=600000000000000.87500000000000000000
LO_DEBUG: input=6.00000000000000888178 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000976996 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000000976996 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001065814 | scaled=600000000000001.12500000000000000000
LO_DEBUG: input=6.00000000000001065814 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001154632 | scaled=600000000000001.12500000000000000000
LO_DEBUG: input=6.00000000000001154632 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001243450 | scaled=600000000000001.25000000000000000000
LO_DEBUG: input=6.00000000000001243450 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001332268 | scaled=600000000000001.37500000000000000000
LO_DEBUG: input=6.00000000000001332268 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001421085 | scaled=600000000000001.37500000000000000000
LO_DEBUG: input=6.00000000000001421085 | scaled=600000000000001.00000000000000000000
LO_DEBUG: input=6.00000000000001509903 | scaled=600000000000001.50000000000000000000
LO_DEBUG: input=6.00000000000001509903 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001598721 | scaled=600000000000001.62500000000000000000
LO_DEBUG: input=6.00000000000001598721 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001687539 | scaled=600000000000001.75000000000000000000
LO_DEBUG: input=6.00000000000001687539 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001776357 | scaled=600000000000001.75000000000000000000
LO_DEBUG: input=6.00000000000001776357 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001865175 | scaled=600000000000001.87500000000000000000
LO_DEBUG: input=6.00000000000001865175 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001953993 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000001953993 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002042810 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002042810 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002131628 | scaled=600000000000002.12500000000000000000
LO_DEBUG: input=6.00000000000002131628 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002220446 | scaled=600000000000002.25000000000000000000
LO_DEBUG: input=6.00000000000002220446 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002309264 | scaled=600000000000002.25000000000000000000
LO_DEBUG: input=6.00000000000002309264 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002398082 | scaled=600000000000002.37500000000000000000
LO_DEBUG: input=6.00000000000002398082 | scaled=600000000000002.00000000000000000000
LO_DEBUG: input=6.00000000000002486900 | scaled=600000000000002.50000000000000000000
LO_DEBUG: input=6.00000000000002486900 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000002575717 | scaled=600000000000002.62500000000000000000
LO_DEBUG: input=6.00000000000002575717 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000002664535 | scaled=600000000000002.62500000000000000000
LO_DEBUG: input=6.00000000000002664535 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000002753353 | scaled=600000000000002.75000000000000000000
LO_DEBUG: input=6.00000000000002753353 | scaled=600000000000003.00000000000000000000
LO_DEBUG: input=6.00000000000002842171 | scaled=600000000000002.87500000000000000000
LO_DEBUG: input=6.00000000000002842171 | scaled=600000000000003.00000000000000000000
